음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
참치머리구이,180,346,2.5,0,16.2,47.8,27.22,438.43,825.88,615.35,53.24,5.18,5.51,209.69,0.2
치킨데리야끼,340,707,51.7,0.4,30.7,56.2,54.98,413.93,906.15,792.79,68.96,1.81,3.88,181.17,0.2
키조개구이,180,234,18.8,6.5,3.7,31.4,32.43,268.37,817.83,637.05,85.79,3.44,21.68,45.52,0
표고버섯구이,80,79,14.5,1.1,0.8,3.5,2.04,109.42,348.04,351.21,17.58,0.54,1.75,0,0
함박스테이크,200,347,14.4,0.1,21.5,24.2,28.45,252.59,395.28,466.76,33.26,1.07,1.97,93.46,0.2
햄구이,170,577,2.6,3.3,51.4,26,19.16,419.13,1506.75,468.43,39.4,0.91,2.49,53.61,0.4
갈비탕,670,363,2.7,0.8,13.8,57,96.86,326.38,1330.59,708.57,45.64,7.1,19.22,210.78,0.4
감자된장국,400,98,14.8,3.1,2.4,4.3,70.22,189.98,1429.93,529.43,83.8,2.09,1.38,0,0
감잣국,400,82,14.7,3.4,1.1,3.6,21.54,89.88,859.81,486.91,34.59,0.49,0.32,0,0
곰탕,600,145,0.7,0,6.7,20.6,42.65,99.79,744.08,209.87,18.15,2.68,2.59,54.25,0.3
굴무국,500,123,14.6,0.7,1.8,12,99.61,208.8,1253.34,533.05,102.53,3.75,11.72,43.89,0
근대된장국,400,38,2.7,3.3,1.6,3.5,44.79,81.92,1304.1,381.71,55.18,0.61,0.59,1.92,0
김치콩나물국,400,48,4.6,2,1.9,3.3,38.01,78.65,919.38,498.74,33.8,620.29,368.49,2.41,0
김칫국,400,90,10.5,0.1,3,5.4,46.51,121.98,832.47,421.89,41.12,0.59,0.94,19.11,0
꼬리곰탕,500,135,4.2,0,3.2,22.5,31.31,89.59,96.89,109.32,12.56,1.34,3.68,65.33,0.1
냉이된장국,400,86,8.8,1.2,2.6,6.9,129.65,127.63,943.35,400.21,50.84,3.01,0.9,0,0
달걀국,400,52,2.7,0,2.9,3.7,20.95,81.08,984.54,77.5,5.38,780.4,443.71,124.44,0
닭개장,700,142,9.9,4,3,19.2,109.59,278.19,1168.18,740.77,58.99,1297.7,1274.3,66.83,0
닭곰탕,650,330,13,1.9,9.2,48.8,58.92,594.11,1105.06,1015.34,86.22,1910.38,3120.38,234.12,0
대합미역국,400,44,2.2,0,1.8,4.9,149.67,930.6,927.64,1458.09,159.23,20.67,7.57,14.37,0
도가니탕,500,198,4.1,0,1.6,41.8,40.73,63.72,751.98,147.3,18.45,9.47,2.05,91.69,0.1
동태국,400,66,5.6,0,0.6,9.7,60.04,169.59,895.7,427.34,34.25,0.56,0.91,45.82,0
메밀묵국,400,87,14.3,1.1,1.6,4,38.29,74.56,953.71,302.56,36.24,1.03,0.62,0,0
무시래기된장국,400,61,8.1,0,0.9,5.2,142.36,72.09,779.28,144.11,19.12,3595.54,769.59,3.64,0
미역국,400,46,3.5,1.1,2.5,2.6,77.87,56.92,670.7,322.99,56.49,1067.34,325.67,0,0
미역냉국,350,128,26.3,15.7,2.3,0.7,84.26,194.11,518.61,405.13,40.6,2.26,1.35,0,0
미역된장국,400,96,9.1,2.4,3.9,6.3,79.08,102.71,1219.4,549.48,76.3,3.57,0.93,0,0
미역오이냉국,350,21,3,2.4,0.5,1.3,45.05,23.79,1144.4,106.37,28.49,493.75,171.38,0,0
배추된장국,400,79,10.3,0,1.6,5.8,49.78,97.19,890.79,379.09,23.46,1002.22,1915.79,12.29,0
북엇국,400,111,3.4,0.5,3.9,15.6,58.1,107.76,929.98,445.94,36.09,979.36,620.85,86.44,0
뼈해장국,800,206,8.5,5.1,7.8,25.6,82.57,230.46,2764.62,627.74,64.03,16244.54,3651.26,75.6,0
사골국,400,220,11.2,0,9.7,22.2,14.14,112.97,298.77,182.7,14.97,2.08,5.51,76.48,0.3
삼계탕,900,911,34.6,4,43.2,96.1,123.29,942.1,736.67,1406.48,122.96,3.86,6.58,433.68,0.3
새우미역국,400,63,7.3,0,1.8,4.4,35.23,92.08,20.5,75.04,14,1.55,3.22,45.23,0
새우탕,500,163,10,0.3,2.2,25.8,151.44,280.85,1340.99,927.99,91.25,2.36,2.95,163.64,0
선짓국,600,173,7.4,0,5.7,23.2,135.67,76.35,1874.43,180.88,27.9,41,2.58,174.29,0
설렁탕,500,118,1.8,0,2.9,21.3,33.94,85.24,109.78,116.76,12.08,1.41,3.21,34.85,0.1
쇠고기무국,400,61,4.4,0,2.5,5.3,22.44,66.35,662,413.36,15.3,441.15,794.5,15.57,0
쇠고기미역국,400,52,3.3,2.1,1,7.4,72.05,77.47,782.02,142.19,48.89,1729.12,971.04,16.96,0
쇠고기배추국,400,62,4.6,0,1.6,7.3,54.35,103.97,990.69,336.51,22.45,0.85,1.64,22.3,0
순댓국,600,509,89.7,1.6,10.5,14.1,91.59,194.62,1981.58,390.67,50.28,7.86,1.06,58,0.1
순두부달걀탕,350,102,3.3,0,7.1,6.2,44.24,123.05,354.96,376.89,29.99,1.29,0.67,119.17,0
시금치된장국,400,37,3.9,0.4,0.7,4.1,61.87,85.16,495.32,722.19,81.81,81.81,0.7,2.56,0
쑥된장국,400,60,6.1,2.9,1.9,4.9,40.7,98.16,970.74,591,40.33,832.05,454.27,0.83,0
아욱된장국,400,81,6.3,0.4,2.2,9.1,455.38,148.77,944.34,487.07,60.82,3.56,0.9,40.86,0
애호박된장국,400,122,5.6,2,5.2,13.4,76.27,296.86,1806.32,584.63,101.25,1.33,3.47,0,0
어묵국,350,106,13.4,0.3,3.6,5.2,67.74,86.4,790.85,384.79,27.84,0.66,0.25,8.57,0
얼갈이배춧국,400,36,3.4,0.2,1.6,2,105.35,51.18,778.53,542.46,36.34,1.1,0.68,0,0
오이냉국,350,38,2.7,3.1,2.4,1.5,31.9,39.39,989.64,161.38,17.95,0.19,0.23,0,0
오징어국,500,91,3.6,1.2,3.7,11.1,23.58,181.13,1286.69,409.41,39.59,0.23,0.6,159.39,0
우거지곰탕,350,88,9.1,1.2,2.1,8.3,58.07,97.51,786.04,249.15,35.98,1.33,1.56,5.98,0
우거지된장국,400,78,3.3,2.5,2.3,11.1,57.28,127.66,1163.09,336.29,27.96,1399.82,1428.65,28.42,0
육개장,440,130,6.5,3.3,4.4,16.2,72.71,183.52,884.24,531.02,40.95,2.45,2.96,47.8,0
일본된장국,200,20,0.4,0.5,1.5,1.4,25.84,36.09,487.54,103.13,20.57,0.28,0.06,0,0
재첩국,350,81,15.9,0,1,2.3,70.18,22.13,442.44,77.04,22.72,2.52,0.4,14.95,0
조갯국,400,62,1,0.7,3.6,6.7,27.95,94.18,1188.5,170.39,44.86,5.21,0.36,16.03,0
콩나물국,400,24,2.4,0.7,0.3,2.9,37.97,49.08,874.4,149.52,33.73,318.21,309.86,2.93,0
콩나물된장국,400,123,10.5,2.1,4.5,10.3,81.67,173.6,1461.21,529.54,66.61,2.03,1.31,0,0
토란국,400,62,10.4,1.1,0.5,4,33.75,62.57,759.86,435.14,27.32,0.33,0.23,4.49,0
해물된장국,400,111,10.7,1.8,3.9,8.4,110.04,172.08,1534.58,561.17,65.45,2.41,1.4,45.5,0
호박잎된장국,350,23,1.9,0.3,1.1,1.4,28.87,35.15,569.77,118.97,16.76,0.79,0.2,0,0
홍합무국,350,87,3,0.8,7.1,2.8,61.1,61.04,816.38,394.97,19.49,0.77,0.58,8.04,0
갓김치,40,16,1.9,0.5,0.5,1,41.61,24.17,175.22,189.68,14.51,0.79,0.21,0.02,0
고들빼기김치,50,35,5.8,2.2,0.7,1.5,34.51,20.92,302.71,128.66,20.23,1123.19,217.43,1.95,0
깍두기,50,16,2.1,1.3,0.5,0.8,22.7,17.79,403.75,141.35,15.41,138.56,78.94,1.53,0
깻잎김치,50,31,4.5,2,0.9,1.4,36.02,27.28,462.03,192.13,23.33,0.34,0.25,0,0
나박김치,100,9,1.1,0.3,0.4,0.5,7.87,9.69,377.45,88.51,6.56,0.2,0.26,0,0
돌나물물김치,400,19,3,1.4,0.3,1.2,84.75,20.66,949.46,179.75,50.14,0.48,0.23,0,0
동치미,200,27,4.5,2.9,0.7,0.6,14.41,24.47,823.74,173.1,29.19,856.82,32.72,0,0
배추김치,40,10,1.3,0.9,0.3,0.7,16,18.12,123.03,103.97,7.71,0.19,0.18,0.4,0
백김치,90,16,2.1,0.7,0.5,0.9,24.78,25.71,402.65,169.65,17.33,0.24,0.24,0,0
보쌈김치,90,27,3.4,1.5,0.7,2,34.54,41.65,595.04,235,19.28,0.52,0.52,5.38,0
부추김치,50,23,3.2,2,0.6,1.3,18.58,21.87,380.66,217.39,16.55,245.9,209.14,0,0
얼갈이배추김치,80,50,8.7,0.3,1.2,1.3,45.7,20.86,196.87,151.43,14.65,0.41,0.28,0,0
열무김치,40,10,0.9,0.2,0.5,0.7,45.27,24.12,194.47,193.35,14.72,0.04,0.1,0,0
오이김치,70,26,4,1.7,0.6,1.4,24.38,40.41,326.04,261.24,21.77,0.42,0.25,0,0
오이소박이,100,32,4.4,3.4,0.9,1.7,23.21,42.48,541.03,266.78,21.11,0.48,0.41,0,0
총각김치,70,22,3.6,1.3,0.5,1,30.07,34.73,332,253.89,17.1,0.36,0.18,0.12,0
파김치,30,13,1.3,0.5,0.6,0.8,14.73,16.91,259.16,134.89,10.11,0.18,0.14,0.05,0
가죽나물무침,80,60,8,3.1,1.1,4.7,55.42,87.31,220.5,358.04,29.03,1.9,0.66,0,0
가지나물,50,17,2.1,1.2,0.8,0.7,11.6,22.54,137.08,111.17,8.39,124,95.98,0,0
건 취나물,50,44,3.2,0,2.7,1.8,87.61,18.84,66.46,49.71,8.27,8.27,0.14,0,0
고구마줄기나물,50,41,2.1,0,3.5,0.5,55.41,14.32,89.63,60.93,7.74,7.74,0.07,0,0.1
고사리나물,50,44,3.1,0.3,2.8,1.9,34.83,31.65,220.71,45.14,17.93,576.35,379.39,0,0
고춧잎나물,90,79,6.4,1.4,4.2,4,183.39,65.85,717.04,357.66,62.99,1.14,0.55,0,0.1
깻잎나물,50,38,2.5,1,2.6,1.3,46.65,26.57,180.79,260.96,24.24,0.39,0.34,0,0.1
냉이나물,60,66,9.4,6.3,1.8,3,81.36,57.24,430.76,179.02,20.86,1.79,0.42,0,0
도라지나물,50,65,6.6,0.4,3.8,1.2,23.76,26.54,205.51,67.55,19.43,216.76,148.91,0,0
머위대나물,50,28,2.4,0.2,1.3,2,119.01,37.99,181.64,95.71,13.44,793.36,264.35,12.61,0
무나물,50,10,1.8,1.7,0.2,0.3,12.32,5.44,176.09,94.17,4.75,29.84,92.56,0,0
방풍나물,80,60,8.6,2.3,1.4,3.5,142.45,61.03,213.93,364.67,13.44,0.66,0.46,0,0
배추나물,80,49,6.8,5,1.7,1.6,30.53,43.62,220.67,196.58,15.9,0.45,0.36,0,0
비름나물,80,58,4.6,0.7,3.2,2.8,155.62,45.39,267.73,271.03,55.89,0.69,0.9,0,0.1
숙주나물,50,17,1.5,0.8,0.8,1.1,7.49,17.79,201.52,39.77,8.36,0.18,0.08,0,0
시금치나물,50,34,1.7,0,2.2,1.9,43.06,29.17,68.12,313.49,33.3,33.3,0.43,0,0.1
시래기나물,50,56,3.9,0.3,3.6,2.2,93.15,31.61,257.08,37.29,10.06,1860.55,317.44,0,0
씀바귀나물,90,87,14.9,1.1,1.6,3.5,41.19,82.56,183.66,220.5,34.26,1.28,0.88,0,0.1
애호박볶음,50,29,2.7,0.2,1.8,0.7,16.91,20.14,223.39,117.5,10.03,191.84,135.52,0,0
열무나물,90,74,4.3,0.5,4.8,3.5,124.37,66.82,413.89,431.1,31.51,0.72,0.52,0,0.2
열무된장나물,90,61,3.7,0.7,3.7,3.3,115.21,64.4,340.95,349.11,30.47,0.73,0.5,0,0.1
오이나물,80,66,0.4,1.8,6.5,1.5,35.88,49.14,504.59,204.41,20.59,0.38,0.28,0,0
유채나물무침,90,86,7,1.8,4.1,5.2,145.12,91.44,1151.4,407.69,34.38,0.91,0.61,0,0
참나물무침,90,53,3.7,0.6,3.3,2.3,79.4,40.81,196.57,137.95,20.61,0.58,0.25,0,0
취나물된장무침,90,39,3.7,0.8,1.5,2.8,88.78,39.35,211.4,206.5,22.56,0.69,0.5,0,0
콩나물고춧가루무침,90,83,5.3,1.7,5.3,3.5,33.22,74.84,182.96,228.11,24,0.73,0.5,0,0
콩나물무침,50,34,1.6,0.3,2.3,1.9,26.23,34.24,193.59,64.64,14.47,0.29,0.17,0,0
토란대나물,90,61,3.8,0.3,3,4.6,273.38,88.18,199.95,93.42,31.34,2.23,0.66,21.97,0
톳나물무침,90,67,11,6.3,1.9,1.7,81.91,28.47,540.29,444.59,40.81,0.83,0.18,0,0
간짜장,500,625,75.7,4.3,24.4,25.6,59.04,265.09,2276.22,623.6,58.41,2.69,4.45,30.23,0.2
고기만두,220,350,38.3,0.4,9.8,27.2,43.15,257.01,453.13,409.02,58.37,2.27,2.8,43.81,0
군만두,220,514,56.3,6.1,25.3,15.5,89.97,197.67,846.06,471.04,58.12,1.8,1.09,20.88,0.1
김치만두,220,334,37.4,0.8,10.5,22.5,39.63,204.72,865.26,485.35,42.6,1.82,3.28,51.19,0
달걀라면,550,596,95.3,1,17.5,14.4,80.63,87.12,1007.15,59.02,60.14,1.5,0.75,156.77,0.1
떡국,700,588,114.6,0.6,3.7,24,26.66,239.54,1234.05,355.42,52.12,2.57,4.97,116.91,0
떡라면,550,525,84,0,16.1,11.2,182.68,115.92,1483.48,293.02,19.02,274.46,587.24,0,0
떡만두국,600,666,92.8,0.1,23.4,21.2,88.37,224.7,1236.89,543.1,50.82,3.36,2.42,67.95,0.1
라면,550,450,75.1,0,12.5,9.5,182.14,109.12,1559.21,311.48,19.16,383.33,418.66,0,0
막국수,600,799,143.4,29.3,9.6,34.8,100.97,310.74,2427.15,807.15,116.8,6.13,6.89,33.2,0.1
만두,220,397,39.8,0,18,19,298.15,366.02,800.92,442.29,49.45,0.71,1.42,26.32,0.1
메밀국수,350,221,42.2,0,1,11,31.48,93.95,679.36,263.5,23.54,0.66,2.83,0,0
물냉면,700,383,72.2,31.6,4.5,13.7,48.3,178.27,1128.25,344.17,42,1.98,1.87,107.45,0
물만두,230,448,35.9,4.9,25.6,18.5,70.97,234.82,763.59,397.02,54.27,1.34,1.41,27.9,0.1
미트볼 토마토 스파게티,500,898,88.1,4.5,44.4,36.7,88.89,426.24,1089.14,870.44,93.01,4.49,5.18,62.91,0.2
바지락칼국수,700,576,111.8,1.2,3.7,24,91.74,154.83,1901.92,359.64,58.06,4.26,3.82,2.34,0
볶음우동,300,385,74.4,1.3,6,8.4,21.54,67.98,770.91,331.24,28.81,0.57,0.52,0,0.1
비빔국수,500,512,102.4,20.5,4.8,15.1,100.12,169.29,1193.79,558.2,60.31,2.63,4.58,5.03,0
비빔냉면,500,499,66.7,20.1,13.2,28.3,113.6,307.71,887.31,833.34,83.79,2.43,5,236.69,0.1
사골만두국,700,606,62.6,0.4,28,26.2,100.93,241.04,2333.21,475.83,57.37,4.7,3.78,183.74,0.4
수제비,650,378,72,0,3.4,15,55.67,236.99,925.17,691.09,74.04,1.32,1.32,83.55,0
우동,800,679,97.7,0.1,25.8,14.3,134.53,160.9,1252.92,310.05,29.72,2.43,2.56,0,0.3
월남쌈,250,293,30.6,13.7,12.4,14.9,47.22,262.02,574.48,362.61,35.22,0.97,2.32,78.96,0.1
잔치국수,700,310,56.3,0.3,3.4,13.5,56.87,93.45,1514.59,266.36,24.32,10.09,9.26,4.22,0
쟁반국수,450,535,57.7,36.5,20.5,30,114.89,448.3,2309.21,1101.86,141.56,4.49,5.94,85.38,0.2
짜장면,600,529,86.2,36.4,13.3,16.2,71.65,174.13,1843.68,380.12,51.26,0.43,1.25,12.28,0
짬뽕,800,464,66.1,12.5,12.3,22.3,99.02,285.85,1446.06,638.1,86.33,0.44,2.08,84.18,0.1
쫄면,550,706,127.9,19.3,13.8,17.7,125.42,234.55,1377.01,717.28,96.03,1.89,0.65,0,0
칼국수,700,540,104.3,0,3.5,23.1,48.41,266,1542,606.29,57.16,2.55,2.93,120,0
콩국수,800,651,71.4,1.9,26.8,31.2,175.57,362.95,532.23,875.68,164.91,4.81,5.75,0,0
회냉면,500,741,111,14.2,20.1,29,264.98,366.45,495.47,804.99,107.96,5.04,3.3,44.41,0
검정콩밥,200,330,68.6,0,2.2,9.1,26.05,103.01,6.87,171.12,28.27,0.76,4.54,0,0
계란볶음밥,260,584,63,0.4,29.3,17.2,47.71,243.33,827.6,414.06,30.54,1.15,2.05,162.85,0.1
고추김밥,290,490,79.8,0.3,12.8,14.1,55.53,203.78,948.04,428.19,41.3,1.43,2.52,109.64,0.1
기장밥,200,331,73.5,0,1.1,6.9,7.95,56.91,2.79,50.72,13.54,0.65,1.63,0,0
김밥,230,322,46,0,10.5,11.1,81.95,127.36,705.16,271.86,28.36,0.69,1.19,44.4,0.1
김치김밥,270,351,51.8,0.8,10.9,11.6,118.43,173.2,942.82,340.96,41.29,0.84,1.38,127.93,0.1
김치볶음밥,330,550,51.9,45.9,30.3,17.6,98.06,238.4,1549.8,553.12,51.2,2.3,1.89,232.34,0.1
낙지덮밥,350,525,84.4,7.5,11.7,20.6,52.94,163.01,743.31,333.5,47.79,1.25,4.13,113.59,0.1
날치알김밥,260,461,74.5,3.7,11.1,15.9,51.82,213.82,777.2,307.17,38.88,1.61,2.67,143.38,0.1
닭고기덮밥,410,510,60.8,4.4,8.9,46.8,86.59,441.88,626.21,563.11,63.56,2.18,2.46,378.39,0
돈까스김밥,320,646,101.2,4.2,18.6,18.5,48.84,236.04,769.81,429.22,46.54,1.58,2.99,20.87,0.1
돌솥비빔밥,380,558,93.8,4.7,11.2,20.5,94.76,273.19,1281.83,433.75,75.13,2.24,2.95,37.92,0
돼지머리국밥,900,1233,143.4,1.5,46.5,60.3,77.69,219.33,1624.51,419.92,45.51,2.18,3.49,214.38,0.2
모듬회덮밥,410,593,72.8,12.6,17,37.3,53.34,443.72,634.31,891.7,72.14,0.94,1.71,112.26,0.1
무밥,200,266,56.3,0,1.3,7.3,44.98,80.71,554.22,236.48,24.35,0.38,1.57,0,0.2
보리밥,200,321,73.5,5.1,0.5,5.8,13.8,67.81,7.85,56.29,14.35,0.39,1.52,0,0
볶음밥,350,640,118.9,0,9.7,19.5,47.21,215.06,743.58,347.89,23.51,1.83,3.51,102.47,0.1
불고기덮밥,400,728,107.8,0.3,21.2,26.4,24.61,291.54,1011.43,552.67,38.82,3.27,8.48,63.33,1
비빔밥,450,637,84.8,0.2,19.4,30.9,138.63,355.95,1041.85,809.07,81.03,4.66,9.41,190.18,0.3
새우볶음밥,370,635,84.5,2.6,22.7,23.3,45.1,230.47,538.64,239.84,28.27,1.28,2.17,261.68,0.1
생선모듬초밥,380,607,101.5,5.3,6.1,36.7,54.21,403.06,540.96,609.92,58.64,0.26,2.52,73.83,0.1
소머리국밥,1000,239,27,0,7.5,15.8,71.93,98.07,1392.24,236.89,29.46,44.8,1.6,88.15,1.1
쇠고기김밥,250,447,64.4,0.1,13.9,16.2,75.82,160.52,666.69,240.89,28.99,2.18,3.97,97.6,0.4
쇠고기볶음밥,260,456,56.6,0.2,16.9,19.7,45.58,223.96,560.18,435.01,34.15,1.6,3.68,130.06,0.2
쇠고기주먹밥,200,355,69.5,0.4,4.4,9.5,17.15,91.26,713.2,137.06,18.81,580.61,2036.88,13.03,0
수수밥,200,321,70,0.2,1.8,6.3,7.69,50.57,2.55,52.98,12,0.34,1.34,0,0
순대국밥,900,673,93.5,1.5,20.6,28.6,76.92,282.83,1137.58,303.41,52.2,5.99,6.35,438.19,0.1
알밥,330,422,52,7.6,16.9,15.6,141.93,199.74,1418.08,421.66,47.55,1.45,2.47,151.75,0.1
영양돌솥밥,350,643,126.2,2.2,10,12,30.35,111.16,21.94,126.52,24.1,1.68,4,0,0.1
오므라이스,400,692,82.1,12.8,28.9,26,77.12,370.13,1730.11,652.18,48.95,3.36,3.67,347.95,0.1
오징어덮밥,360,484,79,2.4,7.2,25.9,29.55,280.66,582.23,485.03,62.3,0.8,2.58,167.2,0
완두콩밥,200,276,62.5,0,0.3,5.9,87.63,63.77,590.06,139.11,10.27,0.67,2.12,0,0
유부초밥,200,388,59.6,4,11.5,11.6,91.78,134.35,771.26,113.41,42.89,1.17,1.54,6.24,0
육회비빔밥,300,442,68.8,13.4,10.1,19.2,83.93,286.37,1337.23,532.99,70.72,2.68,7.41,91.69,0
잡곡밥,200,292,58.6,0.6,1.7,10.6,34.6,221.09,5.29,313.76,70.62,2.65,1.86,0,0
잡채밥,550,825,141.8,0.3,18.8,22.1,88.01,258.14,1247.22,812.75,74.1,4.27,4.65,32.53,0.3
제육덮밥,470,949,79.2,9.3,50.6,44.3,51.76,474.5,819.84,920.66,70.55,2.28,6.21,131.32,0.2
짜장밥,470,572,73.2,0.2,22.2,20.1,53.58,229.42,1109.91,641.79,48.33,1.92,2.57,27.01,0.1
짬뽕밥,900,647,104.9,12,12.6,28.8,118.81,472.79,2105.68,1238.01,134.55,5997.53,3199.81,142.02,0.1
차조밥,200,313,69.7,0.1,1.3,5.7,7.68,60.83,2.81,53.19,16.32,0.64,2.56,0,0
찰밥,280,429,94,1.4,0.5,12.3,30.13,156.78,9.35,470.7,58.71,0.61,2.5,0,0
참치김밥,250,435,50.7,1.8,18,17.5,128.42,182.79,837.43,306.75,31.9,1.81,2.43,83.62,0.1
참치마요삼각김밥,200,398,50.9,0,16.4,11.9,19.33,115.81,460.22,151.27,24.19,0.76,1.15,20.94,0.1
참치볶음밥,230,412,75.7,0.3,7.5,10.6,35.45,106.53,1450.92,151.61,19.83,0.26,1.74,6.35,0
채소김밥,280,442,74.6,0.4,10.2,12.9,105.34,192.21,865.01,459.97,43.5,1.24,2.37,83.8,0.1
채소볶음밥,260,474,74.7,0.8,14,12.3,44.24,157.38,1060.34,406.74,33.64,1.1,3.76,120.23,0
치즈김밥,270,476,59.7,0.6,19,16.9,17.1,41.56,455.54,110.48,14.46,0.58,1.2,94.69,0.3
카레라이스,480,518,99.5,0.8,6.7,14.9,55.93,167.76,1007.05,439.05,36,1.44,3.56,13.39,0.2
콩나물국밥,780,403,85.2,0,1.9,11.3,50.3,122.11,1339.02,324.8,42.52,1.44,2.82,0,0
콩나물밥,320,392,71.7,0.1,5.1,15,49.8,400.15,868.99,770.31,66.9,1.67,3.23,10.06,0
팥밥,200,286,64.5,0,0.2,6.6,14.25,100.42,7.12,166.12,29.27,0.67,1.41,0,0
표고버섯볶음밥,300,551,95.4,0,14.4,10.1,14.12,117.44,896.57,499.51,26.78,0.89,2.22,0,0.1
하이라이스,360,401,76.8,0,4.1,14.5,36.69,130.07,884.09,277.46,25.56,0.24,3.86,10.2,0
현미밥,230,396,89.5,0,1.1,7.1,11.41,130.53,4.8,93.59,48.24,0.49,1.99,0,0
흑미밥,200,348,80.1,0,0.2,6.5,20.47,81.12,3.51,72.26,19.6,0.23,3.47,0,0
감자볶음,100,100,12.4,3.4,4.8,1.7,11.02,38.31,318.41,311.32,15.66,0.31,0.22,0,0
감자채소볶음,130,139,17,0.2,6.8,2.6,21.39,87.43,270.72,434.68,29.26,0.49,0.63,0,0.1
건새우볶음,20,60,1.1,0.8,2.6,8.3,627.06,152.29,310.78,126.28,45.28,0.91,0.84,77.59,0
고추볶음,100,69,8.2,4.3,3.2,1.9,17.93,45.27,275.73,211.43,19,0.6,0.34,0,0
김치볶음,100,106,7.3,4.4,7.9,1.4,52.94,52.25,521.44,316.01,21.13,0.41,0.29,4.66,0.1
꽈리고추멸치볶음,50,126,4,3.1,7,11.8,275.45,273.52,666.95,226.56,71.98,4.43,1.01,73.65,0
낙지볶음,200,182,17.2,15.8,7.5,11.5,57.26,154.57,1074.86,433.33,61.09,0.83,1.41,89.52,0
느타리버섯볶음,50,47,3.4,2.1,3.1,1.4,2.47,43.04,261.84,93.46,8.37,237.36,337.38,0,0
닭가슴살피망볶음,80,97,1.1,0.2,4.5,13.1,22.63,142.68,392.22,283.4,22.38,0.46,0.66,40.29,0
닭발볶음,200,372,23.4,12.7,18.8,27.6,162.62,223,1948.37,516.87,45.39,1.05,1.47,825.57,0.2
닭볶음,300,558,23.8,2.3,32.9,41.9,75.43,425.03,1013.89,1028.29,76.9,1850.34,2091.19,147.95,0.2
당근볶음,90,85,7,4,6,0.8,23.14,24.23,194.28,250.02,7.18,0.2,0.15,0,0
돼지고기김치볶음,230,371,13.6,6.7,23.1,27.2,62.03,320.29,1173.54,788.69,54.53,2.29,4.09,80.78,0.1
돼지고기채소볶음,230,388,19.8,15.3,17.5,38.1,34.55,401.57,796.2,804.58,54.87,2.08,5.48,107.43,0.1
돼지곱창순대볶음,230,299,42.6,7.5,6.9,16.6,82.38,190.45,495.64,390.38,48.95,4.05,2.25,174.98,0
떡볶이,180,260,46.7,7.9,5.3,6.3,25.8,82.82,703.12,151.85,22.89,0.32,0.61,4.21,0
라볶이,200,268,40.3,1.9,9.4,5.7,102.55,69.87,622.28,211.85,18.89,457.36,322.23,5.03,0
마늘쫑볶음,140,123,18.4,7.4,3.6,4.5,60.02,101.05,786.79,445.92,39.48,1.18,0.86,0,0
마늘쫑잔멸치볶음,50,58,7.7,2.9,1.4,3.8,67.02,85.95,252.37,152.6,27.03,0.32,0.39,1.26,0
마파두부,160,174,8.6,3.9,10.4,11.7,46.1,151.72,563.45,183.51,61.67,1.65,1,10.86,0
멸치견과류볶음,50,206,9.2,7,12.2,15.2,420.48,468.5,913.86,300.52,154.56,5.21,1.78,78.6,0
멸치마늘쫑볶음,50,138,6.2,2.1,5.4,16.2,607.31,545.77,1250.51,299.93,143.7,5.42,1.63,152.52,0
멸치볶음,50,137,6.8,5.8,3.5,19.7,525.4,540.42,1303.05,298.85,149.69,4.83,2.15,184.35,0
묵은지삼겹살볶음,200,302,16.8,7.2,21,11.5,100.16,180.1,1207.11,730.8,46.63,1.86,1.65,26.72,0.2
문어고추장볶음,200,175,17.2,10.9,2,21.9,35.76,249.51,974.4,506.08,85.29,0.58,2.21,157.77,0
미역줄기볶음,80,61,3.9,0.4,4.8,0.8,50.69,18.91,404.01,50.2,12.37,273.42,251.22,0,0
브로콜리볶음,90,46,5,1.3,1.1,4,23.09,80.11,84.88,370.71,20.28,0.71,0.5,0,0
새송이버섯볶음,120,145,11.1,4.5,9.6,3.5,2.85,121.33,408.74,375.03,17.29,0.53,1.1,0,0.1
새우볶음,200,166,11.9,8,4.4,19.8,62.63,253.45,652.19,542.19,50.11,0.67,1.8,159.34,0.1
소시지볶음,200,559,28.8,11.7,38.7,23.9,107.1,330.32,1773.53,316.65,30.34,1.7,1.85,56.81,0.2
쇠고기고추장볶음,220,434,23.6,21.3,23.7,31.6,26.8,324.29,1218.57,723.59,48.64,3.91,8.94,85.37,0.2
쇠고기버섯볶음,230,330,15.9,6.6,17.8,26.7,56.73,397.37,848.07,838.35,62.44,3.73,7.83,54.3,0.1
쇠고기볶음,190,543,5.4,8.2,43.2,33.2,21.95,284.69,562.62,574.55,40.63,3.87,10.92,70.35,1.6
쇠고기채소볶음,230,288,14.8,10.4,12.4,29.4,29.95,324.51,619.78,711.8,49.25,3.27,8.77,88.42,0.1
양파볶음,80,44,7.6,7.3,1.2,0.8,14.1,18.52,219.4,111.05,7.93,0.24,0.39,0,0
어묵볶음,140,275,34.1,8.8,10.2,11.8,59.6,125.67,1144.7,182.42,31.05,965.69,678.8,23.3,0.1
어묵잡채,280,414,73.2,4.2,10.6,6.6,94.08,101.81,1201.2,134.3,25.54,3.18,0.56,10.72,0.1
